class,content_text
Satire,"Surveying an enfeebled Rudy Giuliani with a mixture of bewilderment and pity, the Georgetown Hospital staff were reportedly saddened Monday by the elderly patient repeatedly insisting he used to be “America’s mayor.” “A lot of people are pretty far gone by the time they come to us, but these delusions are probably the worst we’ve seen,” said charge nurse Daniella Weber, smiling sympathetically as she retied the 76-year-old’s open hospital gown and nodded along to his story about rebuilding his city better than ever before. “Oh God, you hate to witness this. He keeps saying he’s beloved by millions, and it’s just heartbreaking. We gave him a little medicine to calm him down, but he’s still talking about how he single-handedly cleaned up Times Square. He even asked to get the president on the phone. It’s so sad he’s going to die like this, disoriented and all alone.” At press time, a group of nursing aides was leading Giuliani back to his bed after finding the patient holding a 9/11 memorial service in the morgue."
Satire,"Urging Americans to “smash that sub button” if they’d like to see some real executive power, Barack Obama volunteered Friday to inject himself with a Covid-19 vaccine, eat a ghost pepper, and get bitten by a tarantula live on his new YouTube channel. “Hey POTUS44 followers, Barack here, thank you so much for tuning into my very first presidential endurance challenge, where I’ll inject myself with a vaccine, stick my head in a hornet’s nest, and do whatever other crazy stuff you ask,” said the former two-term president before the 40-minute NSFW video cut to clips of him screaming in pain while sticking 50 syringes into his body, sitting nude in a bathtub with an angry snake, and lighting a roman candle attached to his genitals. “Special shout out to follower @BlueWave60 for suggesting I mix the vaccine with hot sauce first, and to Michelle for getting me this cactus to sit on. And don’t forget to sound off in the comments, because maybe next time, my buds George W. or Bill could be here chowing down 80 raw eggs with me.” At press time, Obama could be seen on the live stream vomiting uncontrollably, begging someone to call an ambulance to take him to Walter Reed Military Hospital."
Satire,"Revising an earlier mandate requiring Covid-19 patients to self-isolate for 14 days without exception, CDC director Robert Redfield announced Friday that the agency was now offering a new expedited quarantine period of just three to five business days for $29.99. “With the simple click of a button, Americans diagnosed with the novel coronavirus can now get their quarantine done quickly and cheaply for three easy installments of $9.99,” said the acclaimed virologist, stressing that it was important for interested patients to order now, because the exclusive offer wouldn’t last forever. “No more waiting two full weeks for your contagiousness to subside, simply select ‘Priority Quarantine’ on the CDC website and enter your credit card number, and in one week or less, you’ll be fully cleared to reenter society. We only have a limited number of these upgrades available, though, and about 14 million active cases, so you need to act fast.” Redfield added that anyone who ordered the expedited quarantine in the next hour would be automatically entered into a raffle for early access to the Covid-19 vaccine of their choice."
Satire,"Following reports that the Covid-19 vaccine would soon be available, 39th President Jimmy Carter announced Thursday, “There’s no way in hell I’m letting them put that thing in me.” “Go find somebody else to stick with needles,” said Carter, who denounced former presidents Barack Obama, George W. Bush, and Bill Clinton’s pledges to receive the vaccine on TV as “completely deranged.” “Those other presidents are fucking idiots. But I’m no rube, and I’m not letting that vaccine near me. How else do you think I’ve managed to stay alive this long? It’s because I’m not a goddamn idiot.” At press time, Carter had pledged that in six months, he would be the only former U.S. president still living."
Satire,"Begging Americans to just use some common sense, exhausted CDC researchers assured the public Thursday that there had been no indication that the Covid-19 vaccine would shrink you down to the size of an ant. “There’s absolutely no truth to the rumor that the coronavirus vaccine will cause patients to rapidly diminish in size, leaving only their clothing behind them, until they are no larger than a speck of dust,” said CDC researcher Jennifer Martin, rubbing her eyes with her hands and issuing a long sigh before confirming that the required second dose of the vaccine would not lead to patients shrinking down even further until they were able to traverse between individual atoms and become stuck in the quantum realm. “It’s certainly possible that there will be some mild side effects, but these are more along the lines of soreness and fatigue than fundamentally altering the laws of matter, which, again, is mostly the province of science fiction movies and has little to no bearing on real life. This is really just a normal vaccine and we urge everyone to take it. Christ, you’re not going to be able to lift 1,000 times your own weight, it’s just so you don’t get sick.” When asked if there was a chance the vaccine could transform users into a giant oak tree, Martin threw up her hands and said “Yeah, sure, why the fuck not?”"
Satire,"In an effort to attract visitors to a state that is home to some of the worst Covid-19 infection rates in the world, South Dakota officials launched a new tourism initiative Friday that will be centered around the slogan “Come Die Here.” “For years, people have flocked here to see Mount Rushmore, but now South Dakota is also a great place to just come and die,” said Gov. Kristi Noem in a prepared statement, which touted the dwindling availability of ICU beds, lack of a statewide mask mandate, and opportunity to take one’s last, fluid-filled breaths amidst the scenic backdrop of Badlands National Park. “What could be better than perishing while surrounded by the gorgeous Black Hills after enjoying a scrumptious last meal of chislic or bison burgers? Wild Bill Hickok went down in South Dakota, and now it’s easier than ever for you and your loved ones to do the same!” At press time, reports confirmed North Dakota, Wyoming, and Nebraska had all sought to compete with South Dakota by launching their own similar campaigns."
Satire,"Stressing that staying home this year had become far and away the safest option available, the Centers for Disease Control and Prevention shut down Thanksgiving travel this week by carrying out major terrorist attacks on all of the nation’s airports and trains stations. “We understand the temptation to travel to see loved ones this holiday season, but it’s important to understand that the dirty bombs and chemical weapons detonated at every major airport from LAX to JFK make travel inadvisable for the foreseeable future,” said Director Robert R. Redfield, adding that the CDC agents had guaranteed the halt of any the coronavirus spread with the additional dynamiting of 50,000 miles of highways, carpet-bombing of all significant rail lines, and placing heads on pikes outside most bus depots as a warning to would-be travelers. “Your safety is our foremost concern, which is why we also recommend that Americans avoid traveling on public transportation, as each and every bus and train has been rigged to explode with C-4 if anyone steps on-board. Anyway, it’s just common sense to take care of yourself and wait to see relatives until late 2021 when the sarin gas clears from your hometown.” At press time, an AP journalist following up on whether healthy, young Americans were advised to travel home had immediately been taken out by a five-kiloton bomb dropped from a CDC drone."
Satire,"Calling her dinner plan “foolproof” despite varying significantly from recommendations issued by the CDC, area mother Jill Elliott explained several new, wildly ill-informed measures Monday to keep her family safe during Thanksgiving. “I’ve been doing my research, and I think if I sit the whole family at an extra-long table, give everyone their own disposable silverware, and spray some Lysol into the air every few minutes between courses, we should be a-okay,” said Elliott, holding up several bottles of hand sanitizer in one hand and a box fan in the other while listing off various well-intentioned but completely off-base strategies for preventing the spread of coronavirus. “The second people come over, I’m going to open all the windows, take everyone’s temperature, and sit your grandparents at a separate table in the living room where there’s a fireplace, because I heard the coronavirus can’t survive heat. Also, I know we have some people flying in from out of state, and I think as long as they hug high-risk people from the side, instead of face to face, that should stop the spread.” Elliott added that even though she had a fever and a bit of a cough, she was sure she’d be over it by the time her family arrived."
Satire,"In a major breakthrough that could completely alter the course of the global pandemic, the coronavirus confirmed Monday that it was optimistic a new mutation would be widely available to the public by early spring. “We’ve been working diligently over the past nine months to develop this new strain as quickly as possible, and we’re pleased to share that trials have been an overwhelming success,” said a spokesperson for Covid-19, who stated the general public could expect to see first cases rolled out to healthcare workers and other vulnerable populations as early as December. “Normally the development and distribution of something like this would take years, but thanks to a concerted national effort, we’ve been able to work at a breakneck speed. Naturally, numbers will be limited at first, but by April, we’re hoping this new mutation will be easily contractible across the entire country. And on top of that, we’re absolutely certain it will be available worldwide by the end of 2021.” At press time, the virus spokesperson added it was impossible to overstate how none of this would be possible without the Trump administration."
Satire,"Shaking their heads in amazement at their failure to see what had been staring them in the face during the entire pandemic, the nation expressed disbelief Friday that they had spent so long overlooking the obvious solution of encapsulating the mRNA instructions for a coronavirus-based spike protein in a lipid nanoparticle. “It’s so obvious in retrospect: You create a mutated form of the spike protein for SARS-CoV-2, swap in a couple proline substitutions to trigger an immune system reaction, wrap that up in a few-nanometer-thick lipid delivery mechanism, and suddenly—wham—you’ve got an effective coronavirus vaccine,” said local bartender Sophie Litzman, one of 323 million citizens who slapped themselves in the forehead at their own total idiocy for not immediately shouting out “use a solid lipid core matrix to deliver a messenger RNA-based payload that teaches cells to churn out modified proteins to prepare the immune system for viral contact!” the moment they saw news of the novel coronavirus’s spread. “Obviously, hindsight is 20/20, but I was really just keeping quiet because I thought ‘stimulating immunogenicity through intramuscular injections of a strong RBD-binding IgG with robust CD4+ and CD8+ T cell responses’ was on the tip of everyone else’s tongue. God, it’s just glaringly obvious now. Stupid, stupid, stupid!” At press time, the nation had agreed that this was really a teaching moment that the simplest solution is often the right one."
Satire,"Clarifying that the federal agency would take a look at Pfizer’s submission eventually, the FDA announced Friday that it would delay the emergency coronavirus vaccine approval until they were finished evaluating a bagged salad kit. “We understand how important it is to get this vaccine to Americans as soon as possible, but we’re right in the middle of examining the ingredients of this Southwest chopped salad kit,” said FDA commissioner Stephen Hahn, noting that he thought it was even a little presumptuous for the pharmaceutical corporation to assume it could just jump the line over an equally important evaluation that would make sure American consumers were in fact getting the tangy chipotle ranch dressing, iceberg lettuce, savory tortilla strips, and zesty blend of Tex-Mex flavors that were labeled on the bag. “We’re only asking Pfizer to exercise a little patience while we determine that this chopped salad does indeed deliver the delicious spirit of the Southwest and contains no artificial ingredients or preservatives. After all, this salad has been in the FDA pipeline for two years. If we were to put off this study and turn our attention to the vaccine, we’d be putting millions of Americans’ healthy, quick to-go meal options at stake.” At press time, the FDA announced it would have to further delay the coronavirus vaccine approval after the agency received a top-priority request to review a new experimental Lunchables pack for emergency-use authorization."
Satire,"According to a thorough analysis of your inability to form meaningful human connections, a report released Friday found that you were lonely before the pandemic started, and you’ll be lonely after it ends. “An overwhelming amount of evidence indicates that while being surrounded by others wasn’t enough to mollify the deep sense of alienation you felt before the pandemic, there is no reason to believe things will be any different after this crisis is over,” read the report in part, explaining that the pandemic merely intensified your existing isolation as opposed to causing your rejection from society. “Crucially, these findings did not hold true for other individuals. This is reaffirmed by the fact that during the pandemic, your situation has been comparatively much more pathetic than any other person on the planet. So while others can expect to regain a sense of belonging once the pandemic is resolved, you will remain alone.” The report concluded that you would carry this sadness with you forever because you are fundamentally unlikable and incapable of being close to people."
Satire,"Following reports that he patronized the three-Michelin-star restaurant with a group of at least a dozen people, Gov. Gavin Newsom of California was widely criticized Thursday for eating at The French Laundry when Atelier Crenn offers a clearly superior take on contemporary cuisine. “It’s absolutely unthinkable that the governor would attend a gathering at an establishment that peaked 15 years ago when he and top lobbyists could have dined at Chef Dominique Crenn’s strikingly inventive restaurant instead,” said Bay Area resident Ian Samuels, blasting Newsom for how out of touch he appeared to be with the modern gastronomic landscape. “How can we trust this man to lead us when his taste in restaurants is so pedestrian? It’s upsetting to see him violate the fine-dining standards being scrupulously followed by millions of Californians—and for a completely prosaic and uninspired interpretation of Nova Scotia lobster galette, no less.” At press time, Newsom had issued a scathing review of The French Laundry in response to criticism."
Satire,"In an effort to clear up any confusion regarding California’s current Covid-19 restrictions, Governor Gavin Newsom signed a law Thursday reclassifying outdoor dining as any restaurant that is located outside. “As of today, any dining establishment whose four exterior walls are exposed to open air and whose front door can be accessed from the outside is considered outdoor dining,” said the governor, adding that the revolutionary new law would allow millions of restaurants to safely open across the state, so long as said restaurants were not located inside another building. “Due to California’s recent coronavirus spike, outdoor patios, updated ventilation systems, and sidewalk service are all of course still encouraged. But remember, it’s perfectly legal to open a restaurant if the tables, chairs, kitchen, and bar area are all inside, so long as that restaurant itself is outside.” At press time, Newsom drew criticism after adding exceptions for restaurants located within other restaurants to open so long as diners were socially distanced and under capacity."
Satire,"Calling it the “ideal spot” to get intubated for a prolonged period of time, nurse Tamara King told reporters Wednesday that she’d hoped the extra-comfy ICU bed was free when she was admitted as a patient in two weeks. “Obviously it’s not ideal, but when I do get sick, that remote-controlled MedlinePlus has yours truly’s name on it,” said King, adding that she had already called dibs on the bed back in March and was carefully monitoring patients to make sure it was empty by the time an ambulance brought her in. “Look, I’m not saying it’s perfect or anything, but the room has a tiny window, a little private TV, and it’s near the nurses’ station so when I start to code, someone can come and save me. Plus only, like, 10 people have died in it, so it’s still pretty fresh.” King added that if things really went south, she hoped the ultra-spacious mobile morgue behind the hospital had room for her."
Satire,"Growing frustrated as she tried to figure out what the latest round of bullshit tyrannical restrictions meant for her, local Covid denier Grace Paquin reportedly admitted Wednesday that she was struggling to effectively protest her state’s incoherent and constantly changing coronavirus policies. “It’s just hard to pinpoint one thing to object to when it seems like our officials are changing the rules for the Wuhan hoax virus every single goddamn week,” said Paquin, adding that she and some friends were going to protest the complete closure of restaurants at the state capitol before finding out that they had been reopened for several days. “It’s annoying, you make all these signs that demand an end to our governor’s despotism and attacks on our liberty, but then it turns out the gyms are open again, and you have to throw out a whole batch of signs. I can barely keep track of what I’m supposed to yell at the grocery store cashier—I know they’re taking away some of my freedoms, but they keep changing which ones. Obviously the science around this whole thing is a crock, but they can’t even seem to settle on which things they’re actually going to pretend cause coronavirus. First they said no masks, then masks, then inside was okay, then inside was bad again, then we could see people, then we couldn’t—I wish they would make up their goddamn minds so we knew what in the hell we were denying.” At press time, the local Covid denier was deleting the draft of a long screed criticizing the government for giving away another round of free stimulus handouts after realizing that the government would never do it."
Satire,"Rushing to assure the country’s populace ahead of the holiday season, experts confirmed Monday that the nation’s virus stockpiles were large enough to prevent any Covid-19 shortages this winter. “Let me be perfectly clear: We have a nearly inexhaustible supply of the virus on hand that will easily last through March, if not much longer,” said CDC director Robert Redfield, telling reporters that the pathogen would first be rolled out to healthcare workers and vulnerable populations this winter but would ultimately be distributed to every American citizen. “We’ve used the months since cases first began spiking in March to accumulate as much of the virus as possible, so fortunately at this point there’s essentially zero risk that we’ll run out.” Redfield added that all Americans could do their part by continuing to go out and socialize with complete impunity."
Satire,"As the city grappled with measures that would adequately address the infectious disease’s unchecked spread, rising coronavirus cases forced Chicago this week to set up temporary bars in hospitals. “With more Chicagoans testing positive and requiring medical care, we have no choice but to fight this thing by adding more bars and restaurants to the city’s medical facilities, including emergency tents for crowded eateries and transforming wards normally used for surgery patients into makeshift taverns,” said Chicago mayor Lori Lightfoot, adding that if the number of hospital admissions continued to rise, the city would be forced to put nurses who had tested positive for coronavirus but were asymptomatic back to work taking drink orders. “Of course, we’ll encourage all of our in-hospital cafes, dive bars, and barbecue joints to comply with local mask orders, including having patrons wear your mask when your server is delivering appetizers to your bedside or on any trips to the bathroom that pass by the intensive-care unit. We will also close them at 11 p.m. every night to ensure we don’t spread coronavirus any more than we have to. During this troubling time, we’re doing everything we can, so we also ask everyone to remain calm. This is an emergency situation, and we may run out of critical supplies like tequila and limes.” Lightfoot added that if the coronavirus spread could not be contained, Chicago officials would be forced to turn some of the city’s parks and beaches into pop-up hospital bars."
Satire,"Utterly disregarding the Centers for Disease Control’s Covid-19 safety guidelines, irresponsible neighbor Edith Bernstein, 94, was having a ton of visitors over to her house, local sources reported Friday. “Who the hell does she think she is hosting a gathering like that while cases are skyrocketing?” said next-door neighbor Laura Perkins, adding that she noticed the get-together after she woke up to blaring sirens and spotted the group hanging out in front of Bernstein’s house next to an ambulance. “Jesus, some people are so selfish. She has all kinds of visitors going in and out of there, and they’re not even trying to maintain proper social distance! Not to mention that an older person in a high-risk category really shouldn’t be letting guests make physical contact with her, even if they are wearing full PPE.” At press time, Perkins had reportedly called the police, hoping they would disperse the emergency vehicles outside Bernstein’s home."
Satire,"Following this week’s news that the immunization may be 90% effective in preventing Covid-19, pharmaceutical giant Pfizer announced in an advertisement Wednesday that the first batch of its highly anticipated coronavirus vaccine would arrive in a collector’s edition limited to 2,000 doses. “Pfizer is proud to offer an exclusive early release of our new vaccine in a custom-made Swarovski crystal syringe with a 24-karat gold needle,” the glossy magazine ad read in part, noting that each dose would come in a handcrafted mahogany case and be accompanied with an official certificate of authenticity signed by Pfizer CEO Albert Bourla. “The Covid-19 Platinum Edition Vaccine is a must-have for vaccinophiles and sure to quickly increase in value. Act now, and you’ll also receive a leather-bound volume filled with freehand ink drawings of the novel coronavirus’s genome sequence, as well as historic early sketches of our life-saving vaccine’s chemical structure. This legendary piece of inoculative history can be yours for only $4,999.” At press time, reports confirmed all doses of the vaccine had sold out immediately and were now going for 10 times their original price on the secondary market."
Satire,"Excoriating the presumptive nominee for his lack of action, the national news media turned its ire on the Biden administration Tuesday for its failure to solve the Covid epidemic. “Hopes were high when President-elect Biden won the election but unfortunately at this point he has failed to deliver on his promises to listen to scientists and see the nation through this challenging period,” said CNN anchor John Berman, confirming that thus far, the Democratic nominee had not lobbied Congress or issued any executive actions to address rising hospitalizations or the economic devastation incurred by the virus. “Despite signaling that he would make it a chief priority, Biden and his as-yet-unnamed cabinet officials have acted like deer in the headlights, refusing to put forward any legislation whatsoever despite having at least the House and, pending results, even the Senate in their corner. It’s this type of stalling that just adds more fuel to the fire for Republicans who claim that Democrats get nothing done.” Berman went on to further condemn Biden for his failure to propose meaningful policy solutions to the wave of right-wing violence expected to escalate over the next few months."
